,Score,Summary,Text
72,2,"Love Teas, Just Not This One","To give you a bit of background, I drink tea every single day, several times a day.  Not your typical American bag tea, but loose tea.  I like the variety of flavors available in loose teas.  I enjoy Rooibos and other herbal teas, White teas, Green teas, and Black teas.  Basically, I should own stock in Teavana since I drink so much of their tea.  I also found a phenomenal tea from Stockholm.  These teas are much better than your standard Orange Pekoe and Black or bagged teas in Starbucks or my local grocer.  That said, this product intrigued me and I figured I would give it a chance.  We only brewed it straight in our drip coffee maker.  No foam and such that was shown on the package...Here are the pros and cons we found:<br /><br />Pros:<br />*health benefits - but I get that with the teas I already drink<br />*seems easier to get more concentrated flavor (if you want that)<br />*Cappuccino or other methods could be good if you're trying to replace coffee with healthier alternative (I still would just opt for loose tea since the deep, rich flavor of coffee isn't ""there"" with this product.)<br /><br />Cons:<br />*flavor was ok, a bit heavy, not spectacular (on the other hand, the teas I drink each day are complex, varied in taste, and refreshing)<br />*texture was off - usually I don't think of teas as having much of a texture but there was a definite difference due to the ground nature of this product - felt ""off""<br />*It reminded me of how creamed corn is the leftovers.  I wonder if the leaves used to make this were so small they were ground up in hopes of still making a profit.  I could be wrong or pessimistic..."
73,2,Too tart,"I make Crystal Light Lemonade at home in a pitcher and add some Ocean Spray Diet Cranberry to sweeten it and it's delicious.  When I saw this product it seemed like a great idea to have at work.  I was very disappointed.  It tastes too tart, not at all sweet.  It's basically lemonade.  I hope that they will reformulate this so that it has a sweeter cranberry taste. If I can do it right when I make it at home, they should be able to also."
74,2,Not as strong as I hoped,"I love chocolate coffee, I was hoping this would be strong but its not. It has a small hint of chocolate, nothing like my favorite Mud Slide ( Which smells my kitchen up with lovely chocolate/coffee smell! ) The coffee flavor is also very mild. I won't be buying again, not strong enough for me!"
75,2,Gone to seed,"I bought this product in December 2010.  It is at least 50-60% almonds, and I'm yet to find a hazelnut, despite re-mixing to overcome shipping segregation.  They used to be best on the market - now they're just another ripoff."
76,2,Disappointed,I was disappointed because I didn't pay attention to the quantity of the coffee.  I feel it's way overpriced for the very little coffee you get.  Two ounces of coffee for $8 is not a fair price.
77,2,Stale,"I recently discovered this product at a local grocer and loved the fresh tasting orange flavor, but the one I received from Amazon smelled of oiliness when a package is opened, and tasted stale...crunchiness of almonds were there but no orange flavor can be detected. So I was rather disappointed and will not order again."
78,2,Beware of the variety you buy,Cats are obligate carnivores.  They should eat 97%+ meat.  A lot of Weruva varieties are packed with veggies.  Veggies aren't good for cats.  Grains aren't good for your cat.  Knowledgeable cat nutrition friends think the Paw licking chicken is fine and their cats love it.  My cats and I hate the veggie-containing varieties they tried.  Look closely at the label before you buy.
79,2,yuck,I don't like diet coke but my husband does and it tastes just like it so if you like diet coke its for you lol
80,2,too bitter,"I like chocolate in my coffee.<br />But this chocolate is so bitter-sweet, you can't even taste it.<br />And it is really, really difficult to squeeze it out of the bottle.<br />Not gonna buy this again, that's for sure"
81,2,STASH LEMON GINGER TEA (CAFFEINE FREE),"I purchased due to one of the review saying this was much better than yoki tea,I feel this tea has a bitter taste and not much ginger,in fact I added ginger,which did not help the taste at all."
82,2,Bob,"We tried this blend and it really tastes like burned coffee.  I guess when we thought about it, Kahlua is a coffee flavor, so how can you have a coffee flavored coffee ?  Seems like the maker just roasts the living daylights out of these beans.  I am not sure who this flavor would appeal to."
83,2,The Fifteen Minute lasting treat.,"I got this for my Cairn terrier puppy when I first got him and I have to say, the idea is a good one but execution is poor. There are two basic problems with this toy.<br /><br />1) My dog just licks it until the treat gets smaller and then manages to pull it out and finish it. This takes maybe fifteen minutes at most.<br /><br />2) Even if he didn't do that, after about three uses the rubber became loose around the treat, so that now it basically just pops out by itself.<br /><br />So save your money and invest it in something more durable."
84,2,Didn't last long,The website for Himalayan says the dog chews should last 2-3 weeks. Um. no. My golden retriever blazed through 3 large sticks in under an hour. She LOVED em tho... But a taddy bit pricey for less than an hour worth of dog entertainment.
85,2,2yr in the making,I got this as a gift loved it...I even got everyone I know to buy one  after they used mine...BUt sadly after about 8months to a year my started to have problems cups were not filling all the way or no filling at all...I know alot of K cups are plugging and not allowing for full strength...then about the same time several people I know that have them had the same problem..I have the carbon filter and use a whole house water softener system so mineral deposits are not my problems....Search the internet this is a very well known problem..
86,2,does not work-causes loose bowles,I have been taking this for several days on the advice of my acupuncturist and it has not had any effect on my chronic muscle pain and also has caused me to have loose bowls when going number 2 in the bathroom.<br /><br />does anybody know of a product that can help get lactic acid build up out of muscles?
87,2,Not so good for you ???,"I bought this product because I wanted to eat a healthy cereal and at the same time add more fiber to my diet.  I chose All Bran because it did not contain aspartame.  I got home and started reading the ingredients & realized the second ingredient is sugar and also contains high fructose corn syrup. It has 8 grams of sugar per serving, but they list a serving as only 1/3 cup.  Who do they think they are kidding?  An average American eats more than that for breakfast.  Do they think consumers are stupid?<br /><br />A box of Kashi 7 Whole Grain Flakes with Black Currants & Walnuts cereal lists a serving as 1 cup and contains only 10 grams of sugar for that whole cup.  Uncle Sam cereal with Real Mixed Berries contains NO added sweetner of any kind and 1 cup of it contains only 2 grams of naturally occuring sugar coming mostly from the berries.  Wow!  You mean a cereal manufacturer is brave enough to make a cereal without adding sugar?  Yes and it is good.  In comparison eating 1 cup of All Bran Buds would be consuming 24 grams of sugar.  No thanks!<br /><br />If anyone at Kellogg's is reading this please know that people who are buying these types of cereals are not buying them primarily for the taste but for the health benefits.  We are not the ""Kindergarten Crowd"" who needs sugar added to everything to get us to eat it.  If I want to consume extra sugar I'll eat a cookie once in a while as a treat.  If I am going to eat a cereal everyday to incorporate fiber into my diet it is not going to be one that has unneeded amounts of sugar.<br /><br />Why can't the big name cereal manufacturers use stevia as an alternative sweetner?  It has been used for years in Europe with no known side effects. The consumers buying these types of cereals who are trying to watch their sugar consumption and increase their fiber would gladly welcome less or preferably no sugar or a healthy sweetner such as stevia."
88,2,Not what I expected,"The beans I received were dry, split and only a little fragrant.I had not bought any for a while, so I bought some others to compare and these are definitely inferior."
89,2,Its okay,Tried this coffee for the first time when I got it from a friend. Nope. Not going there again. I found it too bitter and it tastes like its namesake.
90,2,Disappointed with this tea.,"I am disappointed with this tea. I am used to Indian black tea such as Assam or Darjeeling.<br />This tea has no aroma and tastes pretty dull, nothing compared to the aroma and tastes you get from Indian tea. The quality of the product is great; good beautiful long leafs, but if you are used to Indian black tea then this would not give you the same experience."
91,2,not my favorite chicken substitute,"after reading al the reviews, i tried this product and do not like the consistency. I found that if i cook it in the microwave for a few minutes before using in recipes it is slightly more palatable. this is not my favorite chicken substitute - prefer the fri chik over this product."
92,2,Better than bullion but worse than the Custom Culinary's,"We hadn't been able to find our favorite lobster base at Surfas, LA.  They've been out of stock since the first of the year.  So, following the reviews here, I bought a jar of Better than Boullion lobster bast, $6.19 at Bristol Farms.  Tasted it:  It's not good, no way can it be compared with Custom Culinary's. With only a hint of lobster, dark red color, and tasting strongly of tomato paste, it won't do here.  Surprisingly, Better than Boullion has an excellent chicken base and their ham base if good too.  Had I looked farther down the page, I would have noticed that Amazon also carries the Custom Culinary ""Gold Label"" lobster base, which is the brand we had been using.  Yes, it's more than 3 times as expensive, but a bigger jar, much less need be used at one time, and the flavor is a world of improvement...really tastes like lobster and enhances everything from fish chowder to thermador."
93,2,Wasabi?,"I love wasabi, even the horseradish version that is usually passed off. This stuff is so weak, I can not consider it in the same family of either. I added a teaspoon to an 8 ounce can of nuts and had very little effect. I tried another, still with minimum effect.<br />Go with the paste. That stuff kicks tail!<br /><br />Ben"
94,2,"""Medium"" roast???","I recently purchased an 11 oz. bag of whole bean Seattle's Best Level 3 coffee.  The bag described it as a ""medium"" roast.  As I don't care for the usually burnt, bitter tasting darker roasts I previously tried, I thought I'd give this a try.  When I first opened the bag, I was struck by the very dark appearance of the beans and a burnt odor.  I was skeptical that I would care for this coffee at this point, but decided to try it anyway.  Unfortunately, my fears were confirmed when I actually tasted the coffee -- first black and then with sweetener and milk.  The bitter, burnt taste was very pronounced and this was at less than half the recommended brew strength, i.e., 3 level tablespoons for 8 cups.  If this is in fact ""medium roast"" coffee, I really don't want to know what the ""dark roast"" is like. I will not be buying any more Seattle's Best coffee."
95,2,"Novel idea, but needs work","I'm always willing to try something new for my dogs, and this sounded like a great idea, a portable no-mess treat delivery system.<br />The flavor I'm reviewing is ""Smoky Bacon""<br />I experienced some of the same issues noted by other reviewers. The ball in mine did not roll freely, so once my dog licked it clean, I had to manually advance it with my finger. So much for the ""no mess"" aspect.<br /> Squeezing the bottle as suggested by a few only results in a glop of foul-smelling liquid oozing out and dripping on the floor.<br />Yes, I said foul-smelling. I know dogs have a somewhat different take from their people on what smells good and what doesn't, but 3 of our 4 dogs recoiled at the smell of the product. Our only ""outside"" dog would take a lick, then take a sniff of her own rear end...presumably she found the scent similar. If you've ever seen a dog do that, then you know what I mean.<br /><br />I'm also concerned about how sanitary this delivery system is. Between uses you have a ball laden with dog-mouth bacteria multiplying. I doubt rinsing the ball before storage would help much, undoubtably some slobber is going to contaminate the bottle contents during usage. Refrigeration is not suggested on the label but it might help retard bacteria growth between uses.<br /><br />I think this product is another one of those things that sound like a good idea but the execution is flawed. I cannot recommend this product in good faith, and the $7.99 suggested retail price is a little steep for 1.7 fluid ounces of product."
96,2,Very strong taste,"I am not a coffee snob, but I find this strong is very strong in flavor.  I use the large cup selection on my maker and combine it with a cup of regular coffee.  I think it might be ok over ice."
97,2,useless - I feel no effects whatsoever,"I'm not a tea drinker, so I'll start with that right off the bat.  However, I was reading online about some non-medication ways of coping with a stuffy nose.  One of them mentioned Mullein tea as a natural remedy to combat mucus, so I schlepped down to my local health food store to buy a box of 24 tea bags, for about a buck more than they are here on Amazon.  Not only did drinking this tea 3-4 times a day for a couple days have ZERO effect on my stuffy nose, but this was the worst cold/cough/flu I've had in about 10 years.  Obviously I can't prove that this was BECAUSE of the tea, but I am convinced that I wasted my money on this useless product, and that, at least for me, it provided absolutely no results for anything.  Sorry."
98,2,Original PopChips,"Bought the Original flavor from the store and just tried them tonight. They were very greasy and salty. I did not like them a lot. I will not purchase this original flavor again. However I can't complain because I got the 3 ounce bag for only $1.00 at the store while they were on sale. I tried the BBq flavor and they are delicious. I bought the sea salt & vinegar, and cheddar but haven't tried those yet."
99,2,Poor Quality,"This item comes in a pkg of 3 bags.  The first one was like dust.  It even smelled like dust when I ground the beans, no coffee scent at all.  I just opened the 2nd bag and it does smell like coffee, and much better taste too, but it's so not worth having to throw away an entire bag.  That makes the cost per pound way more than this coffee is worth."
100,3,Pleasant but nothing to get excited about,"I love coffee and I start my day with it and I drink half a pot in the evenings too.  So I was excited to try this blend but it was not as exciting as the description on their website. The scent was fragrant and inviting but the taste fell flat. After drinking 3 cups I think it is a bit bitter and it has an aftertaste with no hint of the ""floral notes and reveals hints of blueberry, cocoa and spice. This well-rounded coffee features a bright acidity. One Love tantalizes your palate, and leaves a profound cherry finish"" as described by their enthusiastic marketing department.  Try Komodo Dragon by Starbucks instead. Bob Marley needs to stick with his day job."
101,3,NEAT BUT TOO SMALL.,"NEAT LITTLE PRODUCT. SEEMS TO SHIP ONLY IN THE FALL, WINTER AND SPRING. HOWEVER, I PREFER OTHER BRANDS WHICH HAVE LARGER BOTTLES. THESE ARE DINKY."
102,3,Decent coffe but not for the stronger coffee lovers.,"This coffee brewed up nicely.  However I love a nice strong cup and found this coffee too weak for me.  If you are looking for a midrange coffee, I would recommend trying this.  By if you are like me and need something stronger, this coffee is not for you."
103,3,Bold coffee but flavor is less than desirable,"Well, the description is accurate. This coffee is very bold, which is good for a morning pick up. However, it really does taste like jet fuel! It also leaves a very strong after-taste. Won't order this flavor again."
104,3,Early expiration date.,"I ordered this 6-pack of rice in November.  It arrived with a ""best by"" date of January.  Even though I'm sure I could eat it after its ""best by"" date, it's still too soon in my opinion, considering that I'm buying in bulk."
105,3,Not too shabby.....,"I was expecting the Black Cherry SWITCH to taste more like Black Cherry, but a quick check of the ingredients shows that my taste buds were correct, it is, indeed, a mixture of Apple, Grape, and Cherry juice. The taste is pleasant enough, but I wish it had more Cherry juice thrown into the mix. As it stands, it tastes like a carbonated juice box. The can is small (8.3 FL OZ), and the calorie count is HIGH- 130 calories per serving! Also, the carbonation level isn't very high, so there's no real ""fizz"", like you'd get from a soda. With a little fine-tuning, they might have a winner here (Bigger can, lower price point, more Cherry juice, more carbonation); As it stands, it tastes like a semi-flat can of Seltzer with some Apple juice poured into it. Not bad, but I doubt I'd buy it again."
106,3,This is DarK Chocolate?,"I was somewhat disappointed with this item. I expected it to be more chocolate-y. The outside coating is the usual dark chocolate coating that thinkThin uses on its other bars. The problem was that the interior detracted from the intense chocolate taste that I expected. It was muddled and weak. With this warning in mind, I have to say that it's better than other bars that I've tried from other companies. So, I don't want to discourage people from trying them. I'm a real chocolate person and I want an intense chocolate taste."
107,3,She eats it but it's like pulling teeth,"I was disappointed to have spent the money and then find that my cat does not really like this food.  She will eat it if she's starving and even then I have to sit near and coax her.  She loves Fancy Feast and I only feed her the non-seafood ones and the ones that do not contain wheat gluten (both cause allergic reactions in her) so that narrows her diet down to the FF classic turkey, chicken, and beef.  I hoped to add some variety with this Wellness and hoped to get away from buying cat food with by-products in it but Wellness chicken is not the answer.  It's too thick and sticky.  Too bad for me because it smells WAY better than the Fancy Feast."
108,3,Not a good Replacement,"The drink is not something I would ever pay to drink. I couldn't even finish the whole can. It has the fizz of soda but doesn't quite taste right. It's not exactly bad tasting, just not good tasting either. I can't say I would ever replace any drink with this one."
109,3,It's ok - but nothing new here,"There is nothing new with this product.  If you have ever used any of the shampoos from Head & Shoulders, you already know what to expect from this product.  The only real difference is the fragrance which is not enough of a differentiator to make me say ""this is great - you need to try this"".  It all comes down to  - do you like the fragrance which I can not comment on here.<br /><br />Overall - it's ok, but I won't be running out to replace it when the bottle goes empty."
110,3,Beary sticky situation,"I myself do like these but others may wish to take note. These bears are not sweet tasting at all. They are slightly chewy and really very sticky so if you have dentures, loose teeth or just don't like things sticking to your teeth you may want to pick something different. Would not be good for small children either."
111,3,Pate,"Actually they were not real goose liver,they are pork liver pate.Of course goose liver is more expensive!Taste's OK for me though delivery fee is too high!Unacceptable because they're from NY(inside US);"
112,3,Take note,"I was a bit confused as to why there were two very similar listings for Arrowhead Mills Shredded Wheat. Since this particular listing had a slightly lower price per ounce, I ordered it. It turned out to be sweetened shredded wheat. (Sweetened with ""evaporated cane juice,"" according to the label.)<br /><br />Not a problem for me -- in fact, it's quite a tasty snack -- but people might want to know.<br /><br />So deducting two stars in rating is for omitting ""sweetened"" in the listing, not for the product itself."
113,3,They are ok.,They taste more like raisins to me. Has the texture of a gummy but a bit tougher than most so recommend with a toddler with great chewing abilities.
114,3,"Great Product, Bogus Price","These are very good nut bars, far superior to anything that you can buy from the big food conglomerates. Wonderful for breakfast or anytime you feel like some nuts. Lightly sugared, so not overwhelming in that department.<br /><br />However, I can buy a box of 24 bars for $16 locally. So this is not something you want to buy from Amazon unless you are house-bound and have no other way to get them, or you can't find a local store that carries them. Hint: look at alternative markets, not at your standard cookie-cutter supermarket.<br /><br />So three stars for a great product that is grossly overpriced in this venue."
115,3,PIMS ORANGE,"This is the second (and last) time in a few years that I buy Pim's Orange from Amazon. Like the first time, I was disappointed, not because of the cookie itself, which is normally delicious--as a French person, I am very familiar with PIM'S cookies and know what they should taste and look like--, but because of the improper manner in which the packages are stored and handled along the way (I cannot figure out at which end). Obviously, the packages go from cold to hot temperatures (or vice versa), possibly multiple times, which is the worst thing that can happen to cookies incorporating chocolate and filling: this alters their appearance and consistency--chocolate surface becomes discolored and collapses due to melting before regaining some firmness, and the cookie part and filling become too soft. The taste is not affected too badly, but you cannot serve them to guests, because of the cookies' miserable appearence.  In order to save them anyway for my own consumption, I wrap the individual packs in a bath towel and store them in the vegetable compartment of my refrigerator. That helps regain some firmness in the cookies, but of course the chocolate surface remains discolored. So my advice is:  buy individual packs at your grocery store if they carry PIM'S, because the cookies are normally delicious, but do not buy them from Amazon.  It's too bad that Amazon has done nothing so far to correct this storage problem. I buy a lot of stuff from Amazon, to my satisfaction 99 p.100 of the time, including LU ""Petit Beurre"" cookies (these are rarely available in US grocery stores). Since they include no chocolate or filling, the shipments are usually in perfect condition.  I give PIM,S Orange three stars because the product is excellent under normal conditions, and the problem is not caused by the manufacturer."
116,3,My cats love this smelly fish,"My 2 cats are picky tuna lovers and this was all that was available at the time. They still love this, but the smelly fish scent is very strong and the kitchen smells for a bit after they eat it. They still love it. But I don't like the smell. I'd buy it again if there was no other choice. But if there is tuna, I'd go for that instead."
117,3,Too Weak For My Taste,"I and I eagerly awaited tasting this, but came away disappointed.  Like many others have pointed,out, this comes accross as just a little too weak.  At first I thought I had miscalculated the amount of water, but it takes two bags to make an 8 oz cup with acceptable body and flavor.  It seems like a nice concept, but the execution is not there yet.  Kudos for the attractive packaging and spirit behind the concept though."
118,3,Target and BJs carries it cheaper,"I recently started supplementing with Similac Advance and find its taste matches the closest with breastmilk. My baby hated Enfamil/Gerber. However, I found BJs carries this a lot cheaper at $28 for a 34 oz can compared to $40 per can here. The price difference is HUGE and not sure why someone would buy this from here. Even target carries the formula a lot cheaper. Amazon seems to have missed the price competitiveness on such a widely used product."
119,3,"Not bad, just not as good as expected","I had been getting Taster's Choice Columbian but they now only make in single servings which can get a bit pricey.  So I decided to try this.  Not bad, just don't like nearly as well as the Tasters Choice, so when I use an instant, I just cough up the money to get the individual ""sticks"" of it."
120,3,Value,Great product. Tastes just like regular pasta.. though takes a few minutes longer to cook.<br /><br />Price is expensive. Walmart carries this for $2.18. I could pay a little more for the convenience.. but not 5 bucks.
121,3,Weak coffee,"It's organic, arabica coffee packaged in pods. I was looking forward to great tasting, conveniently packaged coffee. The box contains 15 pods. Though there's plenty of organic ads and blurbs on the box, there was not one line of instruction. I followed the suggestion on the product page here, and used my drip coffee maker with 8oz of water. The coffee was way too weak. I think using half the water amount would work better."
122,3,Lemon Drops,"The lemon drops were as expected but the took so long to get here that they missed the party for which they were intended.  We ended up having to buy some at the local store.  I guess we will snack on these for Halloween, instead."
123,3,Great flavor!,"This is a tricky product to review.  On the one hand, the flavor is great! (especially the choc. peanut butter).  If I were rating it on flavor alone, I would give it five stars.  However, I took one star off for the price and another star off for the quantity.  It has 15 servings, with each serving being two Tablespoons.  however, two tablespoons of the powder mixed with a little water only yields about 2 teaspoons of peanut butter.  So if you are making peanut butter for a sandwich or for apples, you go through the jar pretty quick (only took me about two days).  But if you are going to add it to a vanilla protein shake, the one serving adds a ton of flavor.  So I would repurchase this but only for adding to shakes."
124,3,Nice scent but gritty texture,"This Dove product has a nice clean smell, not too sweet or fruity (like many of the other men's body washes). However, the lotion in my bottle had a very gritty texture, which was off-putting."
125,3,Not As Good As I Thought It Would Be,"I thought this would've tasted better than it did. Smelled stronger than it tasted. Wouldn't buy again. It's not bad, just not what I was hoping for."
126,3,Not my favorite but pretty good,"I drink a lot of Earl Grey tea and have tried four or five brands over the years, Bigelow being my favorite.  I've been trying this organic Rishi tea for two weeks now and have experimented with different amounts of tea to get the flavor right and have not been able to. It is just okay for me. This tea is advertised as a bold tea and I see that many reviewers agree but I do not.  If I add too much tea to try to make it stronger it adversely affects the taste unlike other loose teas I use.  Also, this tea requires 1 TBL of dry tea per 8oz of water; I need to use twice that amount for it not to be weak, whereas other loose teas I use only require 1 1/2 tsp. for the same strength, so this Rishi tea would be much more expensive to use regularly.  I may prepare it occasionally just to have a change once in awhile.<br /><br />The packaging is beautiful.  It is packed in a very nice earthy looking tin and is slender and tall so fits in the cabinet nicely.  The big plus with this tea is that it's organic."
127,3,Better for medium/large dogs,"It is fun for my toy poodle, but the yellow ""caps"" are too large for him to get his mouth around to remove them. He does enjoy moving the ""cover"" around so he can retrieve the treats."
128,3,Deep rich flavor,The blend is very strong and full flavored.  I was expecting more of a French roast flavored blend.  This coffee is the harshest I have tasted.  If you like a coffee that is super dark and will give you a kick this is the one for you.  I'll finish this batch and try the French roast next.
129,3,mastifflady,"I bought this product for my mastiffs and while is took them a couple of hours to eat it, it only took 20 minutes for my Boston to eat it. I was hopeing that it would last months not minutes or hours. Great product for light chewers and for dogs with allergies to meats."
130,3,Too big for small breeds,"I have a chihuahua and while he did take this and try to eat it, it was just too big for his little mouth.  The treats are too hard to break into pieces and he wasn't all that interested enough to chew the bigger pieces.  Though I will have to say my dog has never been the dog biscuit type so that could be part of the reason he didn't enjoy it.  It's a good quality product made from great ingredients, but not every dog is going to like it obviously."
131,3,Like watered down & weak Turkish coffee,"I drink my coffee strong.  The 3 ounce sample I received of this product wasn't nearly enough quantity for me to give it a real taste test, as I use twice that amount of coffee to make my morning brew.  Keep that in mind if you also drink your coffee strong: the 3 ounce packets are small.<br /><br />I am a Folgers fan.  It has a full-bodied flavor that is rich and satisfying to me.  So I am comparing Puroast Low Acid Coffee to Folgers, and the Puroast Low Acid Coffee failed miserably.  I found Puroast coffee thin and weak with some bitterness.  There is a mild espresso flavor that is similar to Turkish coffee I have had.  Bitter and unpleasant, but weak at the same time.<br /><br />I have had acid reflux (GERD) in the past and drinking regular coffee does exacerbate the condition.  This low acid coffee is made for people with acid reflux conditions so severe that they have had to stop drinking their morning coffee, and I applaud the fact that any coffee company has addressed the issue.  At the same time, the price is prohibitive.  10 tiny 3 ounce bags for $24?  If you make one pot every morning, that $72 a month!  For that cost, I would suggest buying acid reducer pills, and taking one before you drink your morning coffee, and to try to eat something bland while drinking your coffee, to give your stomach something to do with all the acid it is creating.<br /><br />Or, if you only have acid reflux in the morning and you think it's the coffee you are drinking, be aware that it could be caused by some medications you are taking, like calcium or vitamin pills.  In fact, any large pill can sit in your stomach and cause your stomach to create a lot of acid trying to break it down.  A recommendation is to either take more frequent smaller doses of the vitamin supplement, or stop them all together and cut out the acid reflux entirely.  Or add acid reducer medication and put up with it.<br /><br />Two or three sips of this Puroast Low Acid Coffee and it's down the drain.  It's giving me acid reflux just talking about it."
132,3,Can't offer much guidance,"I ordered the vanilla coffee for my college age children.  Unfortunately, there were shipping delays and it did not arrive until the kids had returned to college for the Fall semester.  Update to come when they finally come home for a break -- it may be a while.  The other coffees I have ordered have all been tasty and a very good value, I have no reason to believe this will be any different. I can say that the k cups and the Keurig have been delightful.  I enjoy having a freshly brewed cup every time and like that I save a bunch of money by brewing at home into a travel mug rather than stopping to drop $2.00 for a cup on the way to work.  Saves all those styrofoam cups too!"
133,3,stale,"The package arrived ontime and as described.  The reason I ordered online was that it was not available in local stores and it is my favorite gum.  Unfortunately, it was a bit old and stale. Fresh date was in a month, which for individually wrapped gun it should have been a year or more.  Found a new supply and will order there from now on."
134,3,"My gerbils ate it, but not with gusto","I decided to try this food because it's organic and has less processed ingredients than most other gerbil mixes, but my gerbils weren't as impressed as I was. The seed mix isn't as boring as a lot of commercial mixes, but apparently the millet and alfalfa pellets (a large proportion of the mix) weren't appealing enough, since I always found a lot of them left over when I cleaned the tank. I'm not sure how hamsters would enjoy this food, but I probably won't be buying it again for my gerbils."
135,3,un-orangy,I really like the fact that this company wraps their cookies in serving size portions.<br />i wish these had more of an orange flavor to them
136,3,Didn't work for me but worth a shot,"This did nothing for me, as far as I could tell...  and I was drinking 5 bags a day.  But on the plus side, the flavor wasn't too bad - I wouldn't pick it over one of my favorite teas just for drinking, but with a little turbinado sugar and milk, it was quite tolerable - unlike some medicinal teas I've had!  I am not a fan of licorace and feared this would be nasty to drink but it wasn't bad.  Worth a shot - great if it works for you, but if it doesn't, there are other things to try.  (Motherlove tintures seemed to boost my supply very well when this tea and fenugreek capsules didn't work)"
137,3,Vinegar... Not my taste!,This is the first time I tried Sea Salt & Vinegar chips. Not my taste.  Make sure you like salt & vinegar before ordering. You may be in for a suprise if you have never tried them before.  I'll stick with the salt and black pepper chips.
138,3,Cheerful Flavor,This is a very 'cheerful' vanilla but lacks the dignity and character of Nelsen-Massey's Madagascar Bourbon Pure Vanilla Extract.  I'd suggest using it when baking with kids.
139,3,Bitter!,"I had high hopes for this coffee based on the reviews but was let down.  I picked up a can of this to have on hand incase I ran out of fresh beans for my grinder and I'm glad that I didn't get the 4 pack!  Perhaps I got a bad batch since the reviews here are mostly positive but I found this to be incredibly bitter when making espresso in my Rancilio Silvia.  I varied my dose, tamp, extraction time and temperature but nothing got rid of the horrendous, bitter/sour taste.  After several unsuccessful attempts I pulled a shot using my fresh ground beans to see if I was doing something wrong and had a great shot right off the bat.  Go figure.  On the positive side the grind is fine and even enough for an unpressurized portafilter.  This stuff may be fine for other brewing methods, I didn't try them, but I can't recommend it for espresso unless you really like bitter shots.  Perhaps I just like a darker roast, in the end I tossed it as I was unable to brew a drinkable shot."
140,3,"Not a good value, but tasty","The packs are really small. I thought I was saving by buying in bulk, but it was not a lot for the money.  As usually the beef jerkey tastes great."
141,3,Ok but Miss Vickie's Are Better,Miss Vickies are better but unfortunately less widely available.  I'm not sure tough is the right word but there is a noticeable difference between the two brands and Miss Vickie's are better IMHO.
142,3,Not the best,"With so many choices now, I thought I woudl give this a try.<br />The Donut shop Decaf is by far my favorite and this one falls short."
143,3,SWEET,"My oh my is this cocoa sweet. Too sweet I'd say. You're better off making hot cocoa from scratch. I bought this because I thought the minty flavor would be good, but it's too sweet. So are the dark and milk chocolate flavors."
144,3,Okay,"This product tastes okay, but is definitely quite sweet.  Maybe I missed something, but I couldn't find the calorie content prior to ordering and foolishly ordered any way.  One review I read said there is 60 calories, but it is 80 calories a cup per the packaging, I probably wouldn't have ordered.  This will be a one time per day drink...also has a bad aftertaste.  On a positive note, the pricing is reasonable...however with one a day, it is going to take me two months to go through this drink that I am not crazy about."
145,3,Incorrect Order,"<a href=""http://www.amazon.com/gp/product/B001EO6BCC"">Royal Oak  Gourmet Virginia Raw In Shell Peanuts, 2.5 Pound Bags (Pack of 3)</a><br /><br />I'll appreciate your speedy deliver of my package, however you sent me raw peanuts without the shell.  This item is going into a gift basket for my Pastor because he love raw peanuts in a shell.  I don't have time to returned them for the requested product. You have always been prompt with my orders in the past and I really do appreciate.  This is the first time you sent me an incorrect product.  I'll make it work."
146,3,not what I expected....,"Probably my fault, should have read the description more carefully.  The taste is hard to swallow... strong and bitter."
147,3,More like Tangy & Creamy,"Taco Bell has introduced a new line of three ""Bold & Creamy"" sauces. Each of the ""Bold & Creamy"" sauces are based on soybean oil, water, vinegar, buttermilk,  and a few other standard ingredients. Taco Bell Bold & Creamy, Spicy Ranchero Sauce adds tomato to the primary recipe. Unlike the other two, this sauce has no peppers of any kind in its ingredients.<br /><br />The Spicy Ranchero Sauce has no perceptible heat, but the tang of the vinegar is much more noticeable than in the other varieties, especially if you use it as  dipping sauce. As I mentioned in one of my other reviews, I don't care for creamy sauces on my tacos. I did try the Spicy Ranchero Sauce on a couple of Taco Bell tacos, but still would choose one of the traditional red sauces.<br /><br />I made a sort of salad with celery, carrots, BBQ chicken strips, and tortilla strips. I used the Spicy Ranchero Sauce as a dressing and found it a good fit for this set of ingredients that was limited to what I had on hand at the moment. I've also used it as a dip for tortilla chips and vegetables. It occurred to me that it might be good on fish or shrimp tacos. I tried it on a Filet-O-Fish instead of tartar sauce. The fish flavor completely overwhelmed the Spicy Ranchero Sauce. I also tried it in place of seafood cocktail sauce with some cooked shrimp. It did not really add anything interesting to the shrimp.<br /><br />In my kitchen, the Spicy Ranchero Sauce is more likely to find use as a dressing or dipping sauce than a taco sauce.<br /><br />One note: the ""Best if Used By"" date on the bottle I received was a little over two months after I received it. This seems kind of short to me for a bottled product that's refrigerated after opening. It may have been an older lot, but it's something to keep in mind if you're thinking of ordering in bulk or taking advantage of a sale."
148,3,Not much blueberry,This is just like many breakfast cereals like Honey bunch of oats at the supermarket.<br /><br />This one is in a resealable plastic bag with a ziplock style closure.<br /><br />The taste is good with vanilla flavoring. There were no blueberries but just some tiny blueberry fragments.
